ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,next_day_return
300059.SZ,2025-01-02,25.58,25.66,23.52,23.99,25.82,-1.83,-7.0875,8937696.67,21955486.319,-0.047102959566486025
300059.SZ,2025-01-03,23.92,23.99,22.86,22.86,23.99,-1.13,-4.7103,6621087.94,15395241.696,-0.013998250218722696
300059.SZ,2025-01-06,22.59,23.0,22.4,22.54,22.86,-0.32,-1.3998,4233747.37,9592894.529,0.020851818988465
300059.SZ,2025-01-07,22.62,23.05,22.41,23.01,22.54,0.47,2.0852,4215493.96,9589671.347,-0.019556714471968828
300059.SZ,2025-01-08,22.79,23.05,21.96,22.56,23.01,-0.45,-1.9557,5778177.95,12977134.868,-0.003102836879432691
300059.SZ,2025-01-09,22.48,22.87,22.33,22.49,22.56,-0.07,-0.3103,2992003.13,6766497.056,-0.02712316585148955
300059.SZ,2025-01-10,22.49,22.69,21.88,21.88,22.49,-0.61,-2.7123,3352470.67,7479416.743,0.010968921389396868
300059.SZ,2025-01-13,21.46,22.34,21.46,22.12,21.88,0.24,1.0969,3368406.38,7397444.292,0.0786618444846292
300059.SZ,2025-01-14,22.42,23.89,22.22,23.86,22.12,1.74,7.8662,8798739.82,20478466.016,-0.022632020117351215
300059.SZ,2025-01-15,23.55,23.66,23.23,23.32,23.86,-0.54,-2.2632,4489053.85,10509548.066,0.003001715265866123
300059.SZ,2025-01-16,23.55,23.97,23.07,23.39,23.32,0.07,0.3002,4473025.08,10511127.822,0.0021376656690894613
300059.SZ,2025-01-17,23.25,23.74,23.18,23.44,23.39,0.05,0.2138,3635276.38,8540687.876,0.002986348122866911
300059.SZ,2025-01-20,23.78,23.96,23.33,23.51,23.44,0.07,0.2986,4143183.1,9802738.643,0.014461931093151748
300059.SZ,2025-01-21,23.8,23.98,23.26,23.85,23.51,0.34,1.4462,4366910.87,10327800.396,-0.007547169811320753
300059.SZ,2025-01-22,23.62,23.79,23.37,23.67,23.85,-0.18,-0.7547,3596647.38,8470112.899,0.0025348542458807355
